customer_id,customer_name,city,state,signup_date
1,Customer #1,Campinas,SP,2018-06-22
2,Customer #2,Brasilia,DF,2017-06-25
3,Customer #3,Guaratuba,PR,2017-10-23
4,Customer #4,Santo Andre,SP,2018-04-16
5,Customer #5,Candido Mota,SP,2018-04-12
6,Customer #6,Niteroi,RJ,2018-02-18
7,Customer #7,Varzea Paulista,SP,2017-04-25
8,Customer #8,Sao Paulo,SP,2018-04-23
9,Customer #9,Estacao,RS,2018-04-18
10,Customer #10,Vitoria,ES,2018-03-14
11,Customer #11,Triunfo,PE,2018-08-07
12,Customer #12,Guarulhos,SP,2018-03-25
13,Customer #13,Rio De Janeiro,RJ,2017-05-14
14,Customer #14,Araxa,MG,2018-03-06
15,Customer #15,Limeira,SP,2018-04-28
16,Customer #16,Sao Fidelis,RJ,2017-04-28
17,Customer #17,Sao Paulo,SP,2018-03-26
18,Customer #18,Guaratingueta,SP,2017-12-14
19,Customer #19,Penedo,AL,2017-09-06
20,Customer #20,Paranagua,PR,2018-07-13
21,Customer #21,Nova Friburgo,RJ,2017-11-24
22,Customer #22,Jacarei,SP,2017-11-29
23,Customer #23,Presidente Prudente,SP,2018-03-27
24,Customer #24,Sao Paulo,SP,2018-04-06
25,Customer #25,Brasilia,DF,2018-04-02
26,Customer #26,Lagoa Santa,GO,2017-03-01
27,Customer #27,Ipatinga,MG,2017-11-09
28,Customer #28,Sao Paulo,SP,2017-03-06
29,Customer #29,Nova Iguacu,RJ,2017-09-18
30,Customer #30,Teofilo Otoni,MG,2017-10-05
31,Customer #31,Rio De Janeiro,RJ,2018-05-03
32,Customer #32,Sao Paulo,SP,2018-02-03
33,Customer #33,Rio De Janeiro,RJ,2018-05-09
34,Customer #34,Rolandia,PR,2018-06-12
35,Customer #35,Sorocaba,SP,2018-06-26
36,Customer #36,Botucatu,SP,2018-07-23
37,Customer #37,Vitoria,ES,2018-05-20
38,Customer #38,Ipatinga,MG,2018-02-03
39,Customer #39,Sorocaba,SP,2017-08-02
40,Customer #40,Campinas,SP,2018-07-25
41,Customer #41,Santos,SP,2018-04-24
42,Customer #42,Sao Paulo,SP,2017-11-01
43,Customer #43,Itapecuru Mirim,MA,2017-05-30
44,Customer #44,Sao Jose Dos Campos,SP,2017-12-04
45,Customer #45,Rio De Janeiro,RJ,2017-12-04
46,Customer #46,Rio De Janeiro,RJ,2018-04-02
47,Customer #47,Itajuba,MG,2018-06-06
48,Customer #48,Rio De Janeiro,RJ,2018-06-26
49,Customer #49,Sao Paulo,SP,2017-02-10
50,Customer #50,Porto Velho,RO,2017-09-24
51,Customer #51,Araruama,RJ,2017-04-19
52,Customer #52,Sao Miguel Arcanjo,SP,2018-06-28
53,Customer #53,Sao Caetano Do Sul,SP,2018-05-01
54,Customer #54,Paco Do Lumiar,MA,2017-10-30
55,Customer #55,Olimpia,SP,2017-12-15
56,Customer #56,Vitoria,ES,2017-07-10
57,Customer #57,Montes Claros,MG,2017-09-26
58,Customer #58,Angelo Frechiani,ES,2018-08-06
59,Customer #59,Ribeirao Preto,SP,2017-08-25
60,Customer #60,Belo Horizonte,MG,2018-08-08
61,Customer #61,Sao Paulo,SP,2018-05-09
62,Customer #62,Salvador,BA,2018-01-12
63,Customer #63,Belford Roxo,RJ,2017-03-26
64,Customer #64,Atibaia,SP,2017-07-12
65,Customer #65,Porto Velho,RO,2018-06-14
66,Customer #66,Chapadao Do Ceu,GO,2018-02-18
67,Customer #67,Itamarandiba,MG,2018-01-24
68,Customer #68,Sao Paulo,SP,2017-12-26
69,Customer #69,Santo Antonio Do Monte,MG,2017-02-05
70,Customer #70,Sao Paulo,SP,2018-08-24
71,Customer #71,Natal,RN,2017-04-30
72,Customer #72,Blumenau,SC,2018-07-09
73,Customer #73,Joao Pessoa,PB,2018-07-06
74,Customer #74,Sao Paulo,SP,2017-11-22
75,Customer #75,Santo Andre,SP,2018-03-26
76,Customer #76,Presidente Prudente,SP,2018-05-10
77,Customer #77,Florianopolis,SC,2017-12-04
78,Customer #78,Belo Horizonte,MG,2018-01-05
79,Customer #79,Sao Paulo,SP,2017-05-12
80,Customer #80,Maua,SP,2018-01-20
81,Customer #81,Santo Andre,SP,2018-01-21
82,Customer #82,Ribeirao Das Neves,MG,2017-11-30
83,Customer #83,Rio De Janeiro,RJ,2018-04-19
84,Customer #84,Santo Angelo,RS,2017-06-19
85,Customer #85,Sao Paulo,SP,2018-03-07
86,Customer #86,Cuiaba,MT,2017-10-09
87,Customer #87,Sao Paulo,SP,2018-02-28
88,Customer #88,Piedade De Caratinga,MG,2017-07-28
89,Customer #89,Sao Paulo,SP,2017-09-03
90,Customer #90,Santa Barbara D'Oeste,SP,2018-05-01
91,Customer #91,Salvador,BA,2017-12-10
92,Customer #92,Bertioga,SP,2018-08-16
93,Customer #93,Campinas,SP,2017-07-23
94,Customer #94,Campinas,SP,2017-08-24
95,Customer #95,Ananindeua,PA,2018-08-01
96,Customer #96,Recife,PE,2017-07-31
97,Customer #97,Sao Paulo,SP,2018-07-30
98,Customer #98,Rio De Janeiro,RJ,2018-04-16
99,Customer #99,Sao Paulo,SP,2017-12-17
100,Customer #100,Castelo,ES,2018-02-07
101,Customer #101,Sao Paulo,SP,2017-06-29
102,Customer #102,Sao Paulo,SP,2017-09-27
103,Customer #103,Sao Paulo,SP,2017-07-27
104,Customer #104,Rio Grande,RS,2017-12-25
105,Customer #105,Araripina,PE,2018-04-02
106,Customer #106,Nova Friburgo,RJ,2017-04-22
107,Customer #107,Timoteo,MG,2018-05-09
108,Customer #108,Sao Paulo,SP,2018-02-11
109,Customer #109,Franco Da Rocha,SP,2018-06-26
110,Customer #110,Curitiba,PR,2017-12-15
111,Customer #111,Amparo,SP,2017-06-19
112,Customer #112,Ituiutaba,MG,2017-06-26
113,Customer #113,Venancio Aires,RS,2018-07-20
114,Customer #114,Rio De Janeiro,RJ,2017-11-26
115,Customer #115,Campo Grande,MS,2017-10-27
116,Customer #116,Capao Da Canoa,RS,2017-05-02
117,Customer #117,Itaguai,RJ,2017-03-24
118,Customer #118,Sao Jose De Ribamar,MA,2017-11-02
119,Customer #119,Araxa,MG,2018-05-07
120,Customer #120,Aracatuba,SP,2017-06-13
121,Customer #121,Rio De Janeiro,RJ,2018-04-25
122,Customer #122,Sao Paulo,SP,2017-12-03
123,Customer #123,Sao Paulo,SP,2017-03-13
124,Customer #124,Sao Paulo,SP,2018-08-03
125,Customer #125,Venda Nova Do Imigrante,ES,2017-05-13
126,Customer #126,Sao Jose De Mipibu,RN,2018-07-28
127,Customer #127,Resende,RJ,2017-02-02
128,Customer #128,Montes Claros,MG,2017-08-31
129,Customer #129,Ituacu,BA,2017-09-12
130,Customer #130,Itatiba,SP,2017-05-17
131,Customer #131,Joao Monlevade,MG,2018-02-27
132,Customer #132,Verissimo,MG,2017-06-30
133,Customer #133,Santa Barbara,MG,2017-09-24
134,Customer #134,Curitiba,PR,2018-02-14
135,Customer #135,Ibiruba,RS,2018-04-30
136,Customer #136,Diadema,SP,2017-10-20
137,Customer #137,Coribe,BA,2017-09-01
138,Customer #138,Vila Muriqui,RJ,2018-06-19
139,Customer #139,Sao Paulo,SP,2017-11-15
140,Customer #140,Sao Paulo,SP,2017-09-30
141,Customer #141,Uba,MG,2017-12-08
142,Customer #142,Rio De Janeiro,RJ,2017-04-03
143,Customer #143,Ilheus,BA,2017-08-07
144,Customer #144,Porto Alegre,RS,2018-04-17
145,Customer #145,Sao Paulo,SP,2018-06-22
146,Customer #146,Sao Paulo,SP,2018-08-05
147,Customer #147,Niteroi,RJ,2017-12-11
148,Customer #148,Rio Das Pedras,SP,2018-05-13
149,Customer #149,Paulista,PE,2017-02-14
150,Customer #150,Uberlandia,MG,2018-01-04
151,Customer #151,Diadema,SP,2018-01-06
152,Customer #152,Rio De Janeiro,RJ,2018-08-15
153,Customer #153,Sao Paulo,SP,2018-04-04
154,Customer #154,Ananindeua,PA,2018-03-19
155,Customer #155,Rio De Janeiro,RJ,2018-01-09
156,Customer #156,Eugenopolis,MG,2018-01-30
157,Customer #157,Sao Joao De Meriti,RJ,2018-07-07
158,Customer #158,Florianopolis,SC,2018-07-17
159,Customer #159,Nova Iguacu,RJ,2018-06-17
160,Customer #160,Ituiutaba,MG,2017-11-22
161,Customer #161,Guarulhos,SP,2018-04-24
162,Customer #162,Curitiba,PR,2017-11-26
163,Customer #163,Campo Grande,MS,2017-05-24
164,Customer #164,Jau,SP,2017-12-12
165,Customer #165,Duque De Caxias,RJ,2017-10-07
166,Customer #166,Itapira,SP,2018-07-08
167,Customer #167,Mogi Das Cruzes,SP,2018-05-05
168,Customer #168,Pinheiros,SP,2018-04-09
169,Customer #169,Serra,ES,2018-05-17
170,Customer #170,Sao Paulo,SP,2018-03-16
171,Customer #171,Sao Paulo,SP,2017-09-29
172,Customer #172,Americana,SP,2018-02-01
173,Customer #173,Biguacu,SC,2018-07-10
174,Customer #174,Porto Uniao,SC,2018-07-26
175,Customer #175,Vitoria Da Conquista,BA,2018-04-02
176,Customer #176,Sao Lourenco,MG,2018-06-16
177,Customer #177,Lauro De Freitas,BA,2018-06-13
178,Customer #178,Cafeara,PR,2018-08-14
179,Customer #179,Salvador,BA,2017-09-13
180,Customer #180,Telemaco Borba,PR,2018-06-27
181,Customer #181,Ipatinga,MG,2018-07-30
182,Customer #182,Ferraz De Vasconcelos,SP,2018-05-14
183,Customer #183,Rio Paranaiba,MG,2018-07-26
184,Customer #184,Sorocaba,SP,2018-07-20
185,Customer #185,Teofilo Otoni,MG,2017-07-11
186,Customer #186,Itapevi,SP,2017-07-05
187,Customer #187,Caraguatatuba,SP,2017-03-17
188,Customer #188,Campinas,SP,2017-09-30
189,Customer #189,Jundiai,SP,2017-09-27
190,Customer #190,Belo Horizonte,MG,2018-02-28
191,Customer #191,Rio De Janeiro,RJ,2017-06-19
192,Customer #192,Itanhaem,SP,2017-09-13
193,Customer #193,Inhumas,GO,2017-06-05
194,Customer #194,Sao Paulo,SP,2017-11-18
195,Customer #195,Sao Paulo,SP,2017-08-28
196,Customer #196,Joao Pessoa,PB,2018-03-03
197,Customer #197,Sao Paulo,SP,2017-10-24
198,Customer #198,Campos Do Jordao,SP,2017-03-31
199,Customer #199,Santo Andre,SP,2018-07-24
200,Customer #200,Sao Paulo,SP,2018-04-03
201,Customer #201,Sao Paulo,SP,2018-01-31
202,Customer #202,Curitiba,PR,2018-04-14
203,Customer #203,Sao Paulo,SP,2017-12-22
204,Customer #204,Curitiba,PR,2017-05-24
205,Customer #205,Sao Joao De Meriti,RJ,2017-02-08
206,Customer #206,Sao Luis,MA,2017-10-25
207,Customer #207,Rio Branco,AC,2017-01-21
208,Customer #208,Rio De Janeiro,RJ,2018-01-18
209,Customer #209,Contagem,MG,2017-10-03
210,Customer #210,Taboao Da Serra,SP,2017-05-09
211,Customer #211,Sao Sebastiao Do Cai,RS,2018-05-31
212,Customer #212,Trajano De Moraes,RJ,2017-06-01
213,Customer #213,Pacajus,CE,2017-12-06
214,Customer #214,Sao Paulo,SP,2018-06-17
215,Customer #215,Santos,SP,2017-08-01
216,Customer #216,Sao Paulo,SP,2018-01-07
217,Customer #217,Porto Alegre,RS,2018-01-16
218,Customer #218,Canoas,RS,2017-11-03
219,Customer #219,Curitiba,PR,2018-06-15
220,Customer #220,Jaguariuna,SP,2017-12-01
221,Customer #221,Jacareacanga,PA,2018-03-25
222,Customer #222,Frei Inocencio,MG,2018-01-22
