payment_id,order_id,payment_type,payment_value,installments
1,1,Credit Card,86.54,2
2,2,Boleto,49.0,1
3,3,Credit Card,178.27,5
4,4,Credit Card,138.57,2
5,5,Credit Card,172.38,2
6,6,Credit Card,108.18,1
7,7,Credit Card,295.12,6
8,8,Credit Card,152.78,3
9,9,Credit Card,130.26,1
10,10,Credit Card,28.88,1
11,11,Credit Card,211.84,8
12,12,Credit Card,107.36,5
13,13,Credit Card,152.33,1
14,14,Credit Card,175.64,1
15,15,Credit Card,62.39,1
16,16,Credit Card,63.52,1
17,17,Credit Card,424.4,10
18,18,Credit Card,116.23,1
19,19,Credit Card,107.94,3
20,20,Credit Card,239.54,5
21,21,Credit Card,111.02,1
22,22,Voucher,45.24,1
23,23,Credit Card,40.93,2
24,24,Credit Card,74.76,1
25,25,Credit Card,108.16,5
26,26,Credit Card,157.94,4
27,27,Credit Card,342.02,8
28,28,Credit Card,123.25,4
29,29,Boleto,257.92,1
30,30,Credit Card,92.99,2
31,31,Credit Card,285.76,3
32,32,Credit Card,22.78,1
33,33,Credit Card,86.45,2
34,34,Credit Card,1638.72,7
35,35,Credit Card,370.94,1
36,36,Boleto,191.4,1
37,37,Credit Card,60.72,1
38,38,Credit Card,66.6,6
39,39,Credit Card,124.48,5
40,40,Credit Card,130.4,2
41,41,Credit Card,61.22,1
42,42,Credit Card,44.0,1
43,43,Boleto,102.82,1
44,44,Boleto,65.37,1
45,45,Credit Card,152.33,3
46,46,Credit Card,82.9,4
47,47,Boleto,103.6,1
48,48,Boleto,239.44,1
49,49,Credit Card,62.65,2
50,50,Credit Card,77.19,1
51,51,Boleto,43.51,1
52,52,Credit Card,63.42,1
53,53,Credit Card,19.64,1
54,54,Credit Card,331.2,5
55,55,Boleto,52.27,1
56,56,Credit Card,37.0,1
57,57,Credit Card,238.7,6
58,58,Debit Card,43.6,1
59,59,Boleto,118.68,1
60,60,Credit Card,48.41,1
61,61,Credit Card,120.03,3
62,62,Credit Card,35.9,1
63,63,Credit Card,266.96,3
64,64,Credit Card,237.07,10
65,65,Credit Card,231.37,1
66,66,Boleto,164.72,1
67,67,Voucher,232.95,1
68,68,Credit Card,77.77,1
69,69,Credit Card,114.17,3
70,70,Credit Card,26.54,1
71,71,Credit Card,151.61,7
72,72,Credit Card,69.53,1
73,73,Credit Card,533.32,8
74,74,Credit Card,31.27,1
75,75,Boleto,33.94,1
76,76,Credit Card,62.61,1
77,77,Credit Card,249.39,3
78,78,Credit Card,230.96,1
79,79,Credit Card,111.03,5
80,80,Credit Card,72.68,2
81,81,Credit Card,49.0,1
82,82,Credit Card,123.52,10
