product_id,product_name,category,price
1,Furniture Decor Item #2548af,Furniture Decor,9.99
2,Furniture Decor Item #d03bd0,Furniture Decor,79.9
3,Furniture Decor Item #680874,Furniture Decor,39.0
4,Furniture Decor Item #8b3a94,Furniture Decor,139.9
5,Cool Stuff Item #5f504b,Cool Stuff,605.6
6,Furniture Decor Item #bbf920,Furniture Decor,39.9
7,Auto Item #94080f,Auto,178.9
8,Watches Gifts Item #3e9b58,Watches Gifts,99.9
9,Pet Shop Item #a3a03c,Pet Shop,59.0
10,Health Beauty Item #e586eb,Health Beauty,64.9
11,Perfumery Item #0d0096,Perfumery,339.0
12,Health Beauty Item #75b437,Health Beauty,255.0
13,Health Beauty Item #adf591,Health Beauty,29.9
14,Watches Gifts Item #723f62,Watches Gifts,65.0
15,Uncategorized Item #a41e35,Uncategorized,99.3
16,Sports Leisure Item #e7cad5,Sports Leisure,63.9
17,Pet Shop Item #b6f3b8,Pet Shop,399.0
18,Housewares Item #2be2be,Housewares,24.2
19,Bed Bath Table Item #a0abce,Bed Bath Table,117.99
20,Bed Bath Table Item #ad67f7,Bed Bath Table,99.88
21,Sports Leisure Item #5a42f7,Sports Leisure,37.48
22,Toys Item #484bf1,Toys,60.0
23,Furniture Living Room Item #003938,Furniture Living Room,179.9
24,Bed Bath Table Item #dd768d,Bed Bath Table,29.99
25,Auto Item #fc2ede,Auto,179.49
26,Health Beauty Item #50556c,Health Beauty,129.9
27,Garden Tools Item #43b6d9,Garden Tools,879.0
28,Housewares Item #f94715,Housewares,54.9
29,Fashion Bags Accessories Item #16b06e,Fashion Bags Accessories,34.9
30,Sports Leisure Item #ed46d1,Sports Leisure,109.0
31,Telephony Item #4473f3,Telephony,29.32
32,Garden Tools Item #4c6018,Garden Tools,739.0
33,Sports Leisure Item #224703,Sports Leisure,47.92
34,Watches Gifts Item #5e21d5,Watches Gifts,49.0
35,Cool Stuff Item #701ff1,Cool Stuff,380.0
36,Stationery Item #47969d,Stationery,43.99
37,Air Conditioning Item #4a96de,Air Conditioning,99.0
38,Bed Bath Table Item #c45a1d,Bed Bath Table,59.0
39,Pet Shop Item #1b3726,Pet Shop,735.0
40,Bed Bath Table Item #f4d705,Bed Bath Table,24.9
41,Perfumery Item #bbaef2,Perfumery,56.99
42,Toys Item #21d325,Toys,44.99
43,Bed Bath Table Item #d1fbb5,Bed Bath Table,95.03
44,Sports Leisure Item #58bef3,Sports Leisure,125.0
45,Health Beauty Item #c752f2,Health Beauty,29.89
46,Pet Shop Item #2de878,Pet Shop,64.0
47,Electronics Item #98190f,Electronics,75.95
48,Toys Item #e2c3ed,Toys,97.99
49,Sports Leisure Item #71c808,Sports Leisure,43.9
50,Computers Accessories Item #a1bf55,Computers Accessories,27.9
51,Telephony Item #eca303,Telephony,44.5
52,Cool Stuff Item #78119f,Cool Stuff,199.49
53,Bed Bath Table Item #3c883b,Bed Bath Table,54.8
54,Consoles Games Item #351940,Consoles Games,39.9
55,Musical Instruments Item #de9849,Musical Instruments,199.0
56,Sports Leisure Item #c6336f,Sports Leisure,43.61
57,Computers Accessories Item #2e511b,Computers Accessories,128.0
58,Uncategorized Item #794de0,Uncategorized,49.9
59,Watches Gifts Item #d294bd,Watches Gifts,489.0
60,Garden Tools Item #202924,Garden Tools,126.99
61,Sports Leisure Item #b0cd55,Sports Leisure,84.9
62,Garden Tools Item #e83ded,Garden Tools,44.0
63,Books Technical Item #c04b81,Books Technical,48.99
64,Sports Leisure Item #f0737b,Sports Leisure,209.0
65,Electronics Item #3c2f79,Electronics,29.5
66,Home Appliances 2 Item #e5d860,Home Appliances 2,204.0
67,Musical Instruments Item #f092ea,Musical Instruments,420.0
68,Bed Bath Table Item #debefa,Bed Bath Table,112.9
69,Bed Bath Table Item #e117ca,Bed Bath Table,113.0
70,Bed Bath Table Item #c35456,Bed Bath Table,49.9
71,Office Furniture Item #e63e00,Office Furniture,79.99
72,Sports Leisure Item #1dfb36,Sports Leisure,159.99
73,Bed Bath Table Item #b97114,Bed Bath Table,34.9
74,Fashion Bags Accessories Item #e24f73,Fashion Bags Accessories,120.0
75,Sports Leisure Item #11dc40,Sports Leisure,99.0
76,Housewares Item #0bb7cb,Housewares,23.9
77,Housewares Item #334995,Housewares,16.55
78,Bed Bath Table Item #4c505e,Bed Bath Table,35.0
79,Baby Item #09c3d3,Baby,39.9
80,Housewares Item #068cea,Housewares,118.88
81,Sports Leisure Item #a8bb78,Sports Leisure,109.0
82,Office Furniture Item #2de11f,Office Furniture,54.9
83,Health Beauty Item #7e437c,Health Beauty,59.0
84,Computers Accessories Item #e791e5,Computers Accessories,13.99
85,Auto Item #ad0e74,Auto,179.49
86,Perfumery Item #f15943,Perfumery,149.9
87,Sports Leisure Item #590d6c,Sports Leisure,104.49
88,Small Appliances Item #2043ca,Small Appliances,69.0
89,Bed Bath Table Item #3bcf64,Bed Bath Table,142.99
90,Baby Item #b5d214,Baby,269.99
91,Furniture Decor Item #1fd78e,Furniture Decor,149.0
92,Furniture Living Room Item #dd2ca2,Furniture Living Room,79.9
93,Bed Bath Table Item #d2fac8,Bed Bath Table,107.6
94,Housewares Item #b2cadf,Housewares,22.2
95,Health Beauty Item #719332,Health Beauty,67.6
96,Signaling And Security Item #52a646,Signaling And Security,29.0
97,Auto Item #1dce3f,Auto,229.99
98,Furniture Decor Item #6a23ae,Furniture Decor,35.0
99,Consoles Games Item #f10284,Consoles Games,37.4
100,Uncategorized Item #1dcd65,Uncategorized,98.0
101,Auto Item #5ec9cc,Auto,1788.0
102,Sports Leisure Item #d24659,Sports Leisure,25.0
103,Industry Commerce And Business Item #593236,Industry Commerce And Business,74.0
104,Health Beauty Item #2a27bd,Health Beauty,49.9
105,Home Confort Item #e6d528,Home Confort,136.0
106,Bed Bath Table Item #386486,Bed Bath Table,111.3
107,Cool Stuff Item #0de114,Cool Stuff,599.0
108,Garden Tools Item #8bfd18,Garden Tools,159.9
109,Food Drink Item #32f186,Food Drink,29.9
110,Computers Accessories Item #505bdf,Computers Accessories,159.0
111,Furniture Decor Item #0eb8e0,Furniture Decor,34.99
112,Computers Accessories Item #9ead38,Computers Accessories,99.9
113,Bed Bath Table Item #f303e2,Bed Bath Table,56.99
114,Small Appliances Item #d400b6,Small Appliances,30.0
115,Computers Accessories Item #9fa0c7,Computers Accessories,44.94
116,Bed Bath Table Item #a878ce,Bed Bath Table,53.9
117,Sports Leisure Item #61a537,Sports Leisure,79.97
118,Bed Bath Table Item #54af11,Bed Bath Table,69.9
119,Watches Gifts Item #25a675,Watches Gifts,249.0
120,Baby Item #f3979f,Baby,899.99
121,Garden Tools Item #5e6248,Garden Tools,139.99
122,Party Supplies Item #96341c,Party Supplies,7.99
123,Toys Item #f50df9,Toys,128.44
124,Housewares Item #121b96,Housewares,54.67
125,Fixed Telephony Item #c2aedc,Fixed Telephony,19.9
126,Watches Gifts Item #0a2fff,Watches Gifts,99.0
127,Perfumery Item #e792f2,Perfumery,158.61
128,Furniture Decor Item #dd7c76,Furniture Decor,49.0
129,Computers Accessories Item #21e72a,Computers Accessories,199.99
130,Telephony Item #91ad72,Telephony,99.9
131,Health Beauty Item #c20e9c,Health Beauty,79.0
132,Uncategorized Item #212cc0,Uncategorized,10.5
133,Sports Leisure Item #2039ec,Sports Leisure,97.9
134,Agro Industry And Commerce Item #613d09,Agro Industry And Commerce,29.5
135,Perfumery Item #2d6676,Perfumery,299.9
136,Food Item #33202a,Food,149.9
137,Perfumery Item #99d1f2,Perfumery,33.5
138,Party Supplies Item #99b459,Party Supplies,257.6
139,Sports Leisure Item #b73e7c,Sports Leisure,99.0
140,Health Beauty Item #f7740e,Health Beauty,535.9
141,Food Drink Item #077615,Food Drink,17.0
142,Consoles Games Item #75f3ef,Consoles Games,259.91
143,Sports Leisure Item #aea9f4,Sports Leisure,379.9
144,Bed Bath Table Item #1fd68f,Bed Bath Table,110.0
145,Books Technical Item #ce87eb,Books Technical,39.9
146,Watches Gifts Item #53b36d,Watches Gifts,121.1
147,Toys Item #9ce907,Toys,36.9
148,Bed Bath Table Item #4a0c2a,Bed Bath Table,79.9
149,Pet Shop Item #66b5f9,Pet Shop,42.99
150,Sports Leisure Item #61aa43,Sports Leisure,51.9
151,Toys Item #1ac09f,Toys,99.99
152,Telephony Item #036734,Telephony,35.24
153,Computers Accessories Item #e29f2f,Computers Accessories,98.9
154,Auto Item #295462,Auto,59.9
155,Furniture Decor Item #a22f70,Furniture Decor,45.9
156,Sports Leisure Item #b98546,Sports Leisure,36.99
157,Health Beauty Item #654feb,Health Beauty,28.0
158,Auto Item #4b54c1,Auto,59.9
159,Sports Leisure Item #544533,Sports Leisure,29.99
160,Sports Leisure Item #cb57af,Sports Leisure,47.49
161,Computers Accessories Item #3ac52f,Computers Accessories,43.89
162,Tablets Printing Image Item #2eb9b2,Tablets Printing Image,89.9
163,Baby Item #fc5c33,Baby,97.5
164,Telephony Item #c9cfa6,Telephony,24.9
165,Costruction Tools Garden Item #224e8e,Costruction Tools Garden,152.4
166,Furniture Decor Item #ace5d8,Furniture Decor,49.62
167,Uncategorized Item #b61d13,Uncategorized,139.0
168,Computers Accessories Item #385a33,Computers Accessories,94.32
169,Toys Item #6dbcbc,Toys,725.0
170,Watches Gifts Item #337be4,Watches Gifts,239.9
171,Consoles Games Item #c828d9,Consoles Games,140.0
172,Home Appliances 2 Item #cc3181,Home Appliances 2,1054.0
173,Toys Item #175977,Toys,275.0
174,Toys Item #d0c59b,Toys,59.99
175,Pet Shop Item #eb6913,Pet Shop,29.9
176,Watches Gifts Item #a7f2b1,Watches Gifts,49.0
177,Furniture Decor Item #c2c411,Furniture Decor,99.0
