review_id,order_id,review_score,review_date
1,649,5,2018-07-10
2,1522,5,2017-09-09
3,298,5,2017-12-01
4,1201,5,2017-09-12
5,41,5,2017-12-05
6,6016,5,2017-05-13
7,9592,5,2017-09-22
8,5397,3,2017-11-09
9,9192,5,2017-08-09
10,655,5,2018-02-23
11,4705,5,2017-07-12
12,8300,4,2017-12-13
13,8674,1,2017-11-07
14,4274,4,2018-07-13
15,9052,4,2017-10-10
16,8800,5,2017-11-19
17,3561,4,2018-05-15
18,3930,5,2018-04-10
19,965,3,2017-09-06
20,7762,3,2018-01-23
21,947,1,2017-12-22
22,7110,5,2017-09-07
23,5798,5,2018-07-24
24,1084,2,2018-03-01
25,4181,5,2018-02-09
26,2261,5,2018-04-28
27,5223,5,2018-04-21
28,1725,4,2018-08-07
29,55,5,2018-08-07
30,8301,4,2018-05-19
31,3089,4,2017-05-16
32,7306,4,2017-10-03
33,5012,5,2018-08-18
34,8086,3,2017-11-24
35,46,3,2017-12-23
36,5106,3,2018-01-12
37,4403,5,2017-07-13
38,7743,4,2018-05-10
39,2719,5,2017-07-26
40,8912,5,2018-03-24
41,7121,5,2018-03-06
42,2840,5,2017-11-25
43,9696,5,2017-09-06
44,8726,5,2017-05-24
45,6728,5,2018-05-16
46,4807,5,2018-03-27
47,3885,5,2018-01-05
48,2877,5,2018-04-19
49,4778,5,2018-03-07
50,9514,5,2018-03-19
51,9676,5,2018-08-10
52,8190,4,2017-08-19
53,9834,4,2018-07-03
54,7586,5,2017-12-22
55,9481,4,2017-12-20
56,8431,5,2017-12-08
57,5809,5,2018-01-19
58,4525,4,2018-05-11
59,6719,5,2018-04-27
60,9,1,2017-08-17
61,5546,5,2017-06-21
62,7993,2,2018-06-14
63,5240,5,2017-06-06
64,5706,2,2017-07-18
65,1054,5,2018-01-07
66,5383,3,2017-07-07
67,9139,4,2018-08-03
68,8839,5,2017-10-06
69,8585,5,2017-07-20
70,5449,5,2017-12-07
71,8757,4,2018-03-11
72,4229,3,2018-05-25
73,7196,3,2018-08-15
74,9169,5,2018-04-22
75,4315,1,2018-01-07
76,9675,1,2017-04-22
77,922,5,2017-10-11
78,5750,5,2018-04-25
79,1229,5,2018-08-21
80,1987,5,2017-03-04
81,4234,5,2018-03-08
82,9174,5,2018-03-03
83,9914,5,2017-02-11
84,9253,5,2018-05-11
85,5838,3,2018-08-21
86,4650,5,2018-01-12
87,7880,5,2018-07-06
88,1412,1,2018-05-24
89,6513,4,2018-01-20
90,5801,1,2018-04-27
91,3386,2,2017-06-10
92,8245,3,2017-10-24
93,5147,5,2017-07-08
94,2575,5,2018-08-17
95,2419,1,2018-04-11
96,2289,4,2018-03-25
97,5229,4,2018-07-27
98,7853,5,2017-10-07
99,5915,1,2017-12-02
100,8341,3,2017-03-09
101,5042,5,2017-07-13
102,3811,5,2018-08-21
103,3977,3,2017-06-02
104,5848,4,2018-07-13
105,1557,5,2017-06-02
106,7451,5,2018-05-22
107,3924,5,2017-02-08
108,5320,3,2017-12-01
109,8947,1,2017-09-19
110,6325,3,2017-06-16
111,6192,5,2018-08-01
112,9616,2,2018-01-08
113,1830,5,2018-04-05
114,7197,5,2017-03-24
115,6034,5,2017-12-07
116,1030,1,2018-03-21
117,4609,3,2017-08-10
118,6525,1,2018-04-19
119,6378,5,2018-05-03
120,6243,5,2018-01-21
121,6237,4,2018-07-04
122,5624,5,2017-01-27
123,4653,5,2018-08-16
124,5366,5,2017-10-05
125,5686,5,2018-06-07
126,5134,5,2018-04-18
127,9810,2,2017-09-23
128,928,5,2017-10-14
129,6449,5,2018-07-27
130,6043,1,2018-05-06
131,9836,4,2017-04-11
132,2943,4,2017-03-07
133,415,5,2017-06-06
134,7507,5,2018-05-23
135,9193,4,2018-03-02
136,7362,5,2018-04-07
137,591,5,2018-05-17
138,7284,5,2018-06-16
139,722,5,2018-05-04
140,9837,5,2017-11-28
141,2566,4,2018-01-11
142,5551,5,2018-08-14
143,4109,5,2017-03-16
144,7353,5,2018-01-27
145,4776,4,2017-04-19
146,8302,5,2018-02-04
147,3506,4,2018-06-24
148,2509,5,2017-05-28
149,4410,5,2018-07-31
150,1871,5,2018-08-23
151,53,4,2018-07-14
152,4740,1,2018-08-10
153,8751,1,2017-09-19
154,933,4,2018-08-02
155,2473,5,2018-03-24
156,2547,5,2017-12-20
157,4444,5,2018-02-21
158,4978,5,2017-11-02
159,1314,5,2018-04-27
160,7937,5,2017-05-30
161,6882,5,2017-04-14
162,4563,4,2017-05-03
163,2386,5,2017-10-19
164,4166,5,2017-11-04
165,2622,5,2018-05-04
166,2817,5,2018-01-23
167,5626,5,2018-05-31
168,1183,5,2018-01-18
169,177,5,2017-06-22
170,6211,5,2017-06-14
171,5722,5,2017-09-29
172,7207,5,2018-08-28
173,5831,5,2017-09-01
174,8229,5,2017-11-04
175,8596,5,2017-12-03
176,3974,5,2018-04-13
177,6303,4,2017-06-09
178,2658,5,2017-08-26
179,4955,4,2017-09-12
180,9666,5,2018-04-27
181,8054,5,2018-02-24
182,308,4,2017-11-02
183,4641,4,2017-02-12
184,631,4,2017-12-22
185,4890,5,2017-03-22
186,6242,5,2018-01-23
187,3418,5,2018-06-07
188,986,5,2018-01-27
189,95,5,2017-05-25
190,223,4,2018-08-21
191,6098,5,2018-07-08
192,6920,4,2017-10-31
193,7176,5,2018-06-08
194,7019,5,2017-12-21
195,5216,2,2017-12-03
196,4715,4,2017-11-02
197,1877,5,2017-09-09
198,1435,5,2018-02-23
199,6662,4,2018-01-09
200,5723,5,2017-10-25
201,2421,5,2017-12-14
202,2134,5,2018-02-15
203,4811,5,2017-12-28
204,3711,5,2018-08-23
205,6982,4,2017-12-05
206,9370,5,2018-07-03
207,2081,5,2017-11-04
208,9049,4,2017-07-22
209,2486,4,2018-02-23
210,8785,5,2018-08-15
211,8090,4,2018-05-01
212,5841,3,2018-02-04
213,1396,1,2017-03-15
214,5111,4,2017-12-22
215,5064,1,2018-04-05
216,8617,3,2017-05-30
217,3466,4,2018-05-23
218,7752,5,2018-08-21
219,8347,5,2017-07-04
220,6738,5,2017-11-19
221,8744,5,2017-08-02
222,7106,5,2017-09-30
223,964,5,2017-02-25
224,9957,5,2018-02-02
225,9646,5,2017-02-23
226,5447,5,2017-12-17
227,3261,5,2018-02-09
228,1752,3,2017-12-12
229,441,5,2018-08-01
230,4646,2,2018-06-12
231,7934,4,2018-05-10
232,8422,4,2018-06-12
233,9793,1,2017-08-23
234,8877,5,2018-02-20
235,5273,4,2018-06-30
236,5364,5,2017-06-28
237,618,4,2017-10-18
238,7426,5,2017-07-05
239,3787,5,2018-05-25
240,5142,5,2018-01-27
241,7893,4,2017-05-05
242,5983,4,2017-12-14
243,4786,5,2018-04-26
244,3735,5,2017-12-15
245,3522,5,2018-03-02
246,5230,4,2017-09-26
247,9721,1,2017-09-20
248,8031,4,2018-04-21
249,4348,5,2017-08-09
250,7219,2,2018-08-14
251,8765,5,2017-10-25
252,6104,5,2018-02-07
253,4005,4,2018-05-01
254,581,5,2018-02-03
255,9300,5,2017-06-02
256,8557,1,2018-01-31
257,1607,5,2017-06-07
258,6667,1,2018-01-07
259,1368,5,2017-12-30
260,1718,1,2018-04-06
261,6736,3,2017-12-12
262,4855,5,2017-12-22
263,8644,5,2018-02-08
264,7393,5,2018-04-13
265,9048,4,2018-05-22
266,6913,2,2017-09-13
267,1278,4,2017-08-12
268,5859,5,2017-09-06
269,6061,5,2018-07-06
270,6164,5,2017-05-06
271,3266,5,2018-02-08
272,4538,4,2018-03-17
273,789,5,2018-02-01
274,2102,5,2018-06-29
275,2310,5,2017-12-29
276,7330,5,2018-06-23
277,3073,1,2018-03-31
278,3362,5,2018-03-29
279,2281,2,2018-06-12
280,1357,4,2018-03-18
281,1294,5,2018-01-23
282,7641,5,2017-10-11
283,2063,4,2018-04-18
284,9820,5,2018-04-26
285,6432,5,2017-08-23
286,6973,5,2017-11-23
287,537,5,2017-09-05
288,842,5,2018-06-28
289,7063,1,2017-03-29
290,9267,5,2017-03-21
291,5693,4,2017-02-04
292,9143,4,2017-11-16
293,9360,5,2017-12-14
294,7030,5,2018-03-06
295,8532,5,2018-05-12
296,156,2,2017-11-22
297,1679,4,2018-07-03
298,8770,3,2017-12-16
299,2623,5,2018-04-11
300,3259,4,2018-06-29
301,847,5,2018-07-04
302,8982,1,2018-01-06
303,9864,3,2017-12-20
304,4161,5,2017-04-05
305,440,1,2018-02-04
306,7969,1,2017-10-19
307,4452,3,2017-12-29
308,3575,5,2017-06-22
309,2350,5,2018-08-31
310,9941,3,2017-12-20
311,798,5,2017-05-03
312,6388,5,2018-08-21
313,9240,4,2017-12-21
314,3841,4,2018-01-18
315,8321,1,2017-09-09
316,4834,2,2017-04-13
317,6479,5,2018-07-25
318,4513,4,2018-07-07
319,1259,5,2017-11-22
320,6784,4,2017-10-04
321,8149,4,2018-08-12
322,7615,5,2017-12-23
323,4010,5,2017-07-26
324,4480,5,2017-08-26
325,7134,5,2017-10-07
326,8885,3,2017-12-20
327,1076,3,2017-12-24
328,673,5,2018-03-27
329,3148,4,2017-05-08
330,578,5,2018-04-04
331,2839,4,2017-12-06
332,7275,3,2017-12-14
333,9854,5,2017-03-18
334,2571,5,2017-11-12
335,867,5,2018-03-18
336,1268,1,2017-10-13
337,1153,5,2018-01-07
338,3589,2,2018-07-31
339,50,4,2018-03-15
340,7613,4,2017-11-24
341,1561,5,2018-07-14
342,3666,5,2018-07-05
343,1137,4,2017-08-12
344,302,5,2017-06-22
345,4316,4,2017-03-22
346,9051,4,2018-03-30
347,4804,1,2018-05-01
348,6230,5,2017-09-25
349,4694,3,2018-02-17
350,7081,5,2018-04-04
351,732,3,2017-09-17
352,7204,5,2018-01-31
353,78,5,2018-01-18
354,2363,5,2017-04-05
355,3992,5,2017-11-28
356,6556,4,2018-06-16
357,179,5,2018-04-16
358,2933,5,2018-02-01
359,9225,4,2018-05-22
360,6638,4,2018-08-26
361,2643,5,2018-07-29
362,5938,5,2018-01-11
363,2334,5,2017-08-23
364,2066,1,2018-05-01
365,7067,4,2017-12-29
366,4679,5,2017-11-24
367,8980,5,2018-05-26
368,1579,5,2018-05-15
369,2323,5,2018-06-19
370,8108,2,2018-05-26
371,9643,5,2017-09-14
372,3428,5,2017-04-11
373,979,5,2018-06-05
374,2911,4,2017-10-21
375,16,2,2018-08-07
376,6288,5,2018-06-15
377,2033,5,2018-06-06
378,3872,3,2018-06-03
379,5877,3,2018-05-05
380,2279,5,2017-03-11
381,2856,5,2018-07-25
382,8657,2,2018-01-01
383,4364,1,2018-04-06
384,6291,5,2017-12-12
385,5443,3,2018-02-15
386,8455,5,2017-03-28
387,8550,5,2018-08-15
388,5259,5,2017-05-30
389,7039,3,2018-07-04
390,9966,4,2017-05-24
391,914,5,2018-08-28
392,5566,3,2017-11-24
393,9816,1,2017-11-18
394,2203,4,2018-02-06
395,8772,5,2018-01-24
396,5825,5,2017-11-21
397,427,5,2018-04-05
398,1247,3,2018-08-10
399,4837,5,2018-08-31
400,8964,2,2017-08-10
401,3137,5,2018-08-04
402,3851,5,2018-03-29
403,1341,5,2018-07-29
404,9567,1,2017-10-25
405,2726,5,2018-06-21
406,4906,5,2018-05-16
407,5622,4,2018-02-25
408,162,5,2017-08-23
409,6322,2,2018-03-15
410,3360,5,2017-08-10
411,2530,5,2017-12-12
412,9546,5,2018-06-13
413,4261,5,2017-07-28
414,817,1,2018-04-11
415,826,4,2018-03-23
416,1682,5,2017-11-04
417,4790,1,2018-08-14
418,2381,4,2018-03-15
419,7294,5,2018-07-29
420,7868,5,2017-12-05
421,2383,5,2017-04-06
422,7996,5,2018-06-05
423,703,5,2017-02-22
424,6297,5,2018-02-18
425,2775,2,2018-02-11
426,6293,5,2018-02-28
427,5619,5,2017-09-20
428,3702,3,2018-01-20
429,9241,5,2017-07-18
430,8064,2,2018-04-08
431,7556,2,2018-01-05
432,8194,4,2017-09-09
433,2205,3,2017-10-07
434,7801,5,2017-10-17
435,5149,3,2017-01-18
436,1108,3,2018-03-31
437,6631,5,2017-06-10
438,4230,4,2018-08-17
439,4489,5,2017-07-25
440,3088,5,2017-12-21
441,7402,4,2018-05-19
442,8271,5,2017-11-07
443,5350,5,2018-03-30
444,2257,5,2017-12-05
445,8905,3,2017-12-06
446,8869,1,2018-06-08
447,3242,5,2018-07-12
448,8372,5,2018-05-15
449,3467,5,2017-03-23
450,7118,1,2018-08-10
451,4878,5,2018-06-27
452,4447,5,2018-06-26
453,5389,3,2018-02-18
454,8981,3,2017-12-21
455,5498,4,2017-08-30
456,8130,5,2018-06-16
457,8595,5,2018-04-04
458,8020,5,2017-08-27
459,6897,5,2018-08-28
460,7169,5,2017-03-18
461,2418,5,2017-10-24
462,1708,5,2018-05-17
463,259,4,2018-06-09
464,9625,5,2017-11-29
465,5788,4,2018-01-20
466,8462,5,2018-05-15
467,1301,4,2018-02-16
468,4796,5,2018-08-08
469,7100,3,2018-04-13
470,3291,4,2017-11-09
471,89,5,2017-09-06
472,7443,4,2017-08-16
473,9905,3,2018-03-22
474,8623,5,2018-05-08
475,5035,1,2018-05-16
476,8638,4,2018-08-24
477,1169,4,2018-05-18
478,9017,5,2017-12-07
479,6975,5,2018-03-20
480,596,4,2017-07-24
481,258,5,2017-09-16
482,4211,5,2018-04-10
483,8014,5,2017-12-12
484,1853,5,2018-06-21
485,5071,5,2017-06-29
486,7546,5,2018-03-10
487,5807,4,2018-06-30
488,8562,5,2018-02-28
489,4379,5,2017-04-08
490,5821,5,2018-05-08
491,6678,3,2018-08-10
492,5770,5,2017-05-12
493,375,5,2017-12-09
494,1790,4,2017-12-30
495,787,3,2018-01-23
496,3173,5,2018-03-18
497,3532,5,2017-08-29
498,7614,5,2018-01-25
499,5014,1,2018-02-04
500,2326,5,2018-05-06
501,4789,5,2017-06-25
502,1177,5,2017-08-26
503,6656,1,2017-09-21
504,8904,4,2018-03-16
505,3599,5,2018-02-23
506,637,5,2018-05-23
507,339,5,2018-01-10
508,8181,5,2018-01-14
509,2047,5,2018-05-16
510,2235,5,2017-06-14
511,85,4,2017-12-14
512,6300,5,2017-05-06
513,9056,5,2018-07-04
514,9583,3,2018-03-22
515,5534,4,2018-05-03
516,9621,4,2018-05-23
517,7050,5,2017-08-09
518,4163,5,2017-12-01
519,1277,4,2018-02-17
520,4146,4,2017-04-12
521,1160,4,2017-05-26
522,6194,1,2017-12-07
523,7607,1,2018-04-12
524,5369,4,2017-11-24
525,5757,3,2018-03-24
526,5056,4,2018-02-28
527,6878,1,2018-05-18
528,583,5,2017-08-16
529,9968,5,2017-11-28
530,4299,5,2018-08-16
531,8179,3,2017-11-12
532,9719,5,2018-05-15
533,4784,5,2018-04-04
534,1726,4,2018-01-10
535,5514,5,2018-01-27
536,574,3,2018-08-10
537,6815,4,2018-04-24
538,8635,1,2017-05-03
539,2787,5,2018-05-21
540,3244,5,2018-05-09
541,6690,5,2018-01-19
542,6252,5,2017-06-12
543,628,5,2017-12-05
544,6307,4,2018-01-20
545,7871,5,2017-02-14
546,8279,4,2017-09-20
547,1207,5,2018-07-04
548,2372,1,2017-06-11
549,2356,5,2018-01-11
550,5760,3,2018-05-12
551,8242,1,2017-06-29
552,2384,5,2017-05-13
553,9835,1,2018-01-31
554,5842,3,2017-11-18
555,7430,4,2018-03-09
556,7610,1,2018-08-31
557,6074,5,2017-10-26
558,892,4,2018-05-09
559,8340,5,2017-10-20
560,9699,5,2017-07-28
561,1417,1,2018-04-28
562,7457,5,2018-07-31
563,6761,3,2017-04-20
564,9024,4,2017-12-22
565,8583,5,2018-05-03
566,3556,5,2018-07-28
567,6439,5,2018-05-08
568,2670,5,2018-02-01
569,4903,4,2018-05-24
570,8416,5,2017-08-10
571,5321,5,2018-01-27
572,6248,3,2018-02-22
573,9921,5,2018-04-28
574,3978,5,2018-08-17
575,3494,4,2017-08-25
576,778,5,2018-01-07
577,1203,4,2017-09-14
578,6039,4,2017-06-10
579,1713,5,2018-01-11
580,6086,5,2017-12-16
581,1399,5,2017-07-08
582,976,5,2018-08-02
583,32,2,2018-04-15
584,5939,4,2018-08-03
585,8403,4,2018-08-04
586,5818,4,2018-01-17
